completed_trading_date,sigma_i_t,ten_year_average_sigma,relative_volatility_v,historical_v_observation_count,quantile_q,raw_multiplier_2_minus_1_5q,vol_multiplier_m_ewma10,method_status,no_lookahead_status
2016-04-25,0.00741769032109607,0.004876043027709455,1.5212520231964743,1,0.5,1.25,1.25,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-04-26,0.007688357918429551,0.004876102520056965,1.5767424673301849,2,1.0,0.5,1.1136363636363635,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-04-27,0.007320817287150298,0.004876273024835141,1.5013140670887275,3,0.0,2.0,1.2747933884297518,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-04-28,0.008232824067573523,0.004876432661457237,1.688288271187423,4,1.0,0.5,1.1339218632607058,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-04-29,0.0072654773457969165,0.004876846341425776,1.48979008915684,5,0.0,2.0,1.2913906153951227,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-01,0.008283952390805531,0.004877157426337153,1.6985206067106495,6,1.0,0.5,1.1475014125960092,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-02,0.0068943709273090355,0.004875562328361178,1.4140668220370058,7,0.0,2.0,1.3025011557603712,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-03,0.007257751364608735,0.004876086927301371,1.488437649454596,8,0.14285714285714285,1.7857142857142858,1.3903580884792646,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-04,0.007400366860234447,0.0048761830097290996,1.5176556838553894,9,0.5,1.25,1.364838436028489,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-05,0.012334454305279241,0.004876776556634539,2.52922276877726,10,1.0,0.5,1.2075950840233092,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-06,0.00738672603099714,0.004877453076929002,1.5144637815045996,11,0.4,1.4,1.242577796019071,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
2016-05-08,0.006369028269136971,0.0048783558571247115,1.3055686087014688,12,0.0,2.0,1.3802909240156036,LOCKED_S13_STYLE_V_Q_M_ATTENUATION_RUNTIME,PASS_NO_LOOKAHEAD_DAILY_RUNTIME
