book_symbol,product_family,delivery_or_cash_settlement_class,listed_contract_months_evidence_status,first_notice_evidence_status,last_trade_evidence_status,expiration_or_termination_evidence_status,delivery_or_cash_settlement_evidence_status,daily_settlement_or_close_publication_evidence_status,holiday_session_reference_status,roll_safety_blocker,strategy_use_status
ZT,Treasury rates,physical delivery,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,FIRST_NOTICE_LAST_TRADE_DELIVERY_WINDOW_AND_DAILY_SETTLEMENT_RULEBOOK_EXTRACTION_REQUIRED,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
ZF,Treasury rates,physical delivery,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,FIRST_NOTICE_LAST_TRADE_DELIVERY_WINDOW_AND_DAILY_SETTLEMENT_RULEBOOK_EXTRACTION_REQUIRED,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
ZN,Treasury rates,physical delivery,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,FIRST_NOTICE_LAST_TRADE_DELIVERY_WINDOW_AND_DAILY_SETTLEMENT_RULEBOOK_EXTRACTION_REQUIRED,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
MES,Equity index,cash settled,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NOT_APPLICABLE_SOURCE_REQUIRED,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EXPIRATION_FINAL_SETTLEMENT_AND_DAILY_CLOSE_SETTLEMENT_RULES_REQUIRE_POLICY_DECISION,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
MNQ,Equity index,cash settled,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NOT_APPLICABLE_SOURCE_REQUIRED,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EXPIRATION_FINAL_SETTLEMENT_AND_DAILY_CLOSE_SETTLEMENT_RULES_REQUIRE_POLICY_DECISION,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
M2K,Equity index,cash settled,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NOT_APPLICABLE_SOURCE_REQUIRED,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EXPIRATION_FINAL_SETTLEMENT_AND_DAILY_CLOSE_SETTLEMENT_RULES_REQUIRE_POLICY_DECISION,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
MYM,Equity index,cash settled,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NOT_APPLICABLE_SOURCE_REQUIRED,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EXPIRATION_FINAL_SETTLEMENT_AND_DAILY_CLOSE_SETTLEMENT_RULES_REQUIRE_POLICY_DECISION,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
QM,Energy,cash settled,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NOT_APPLICABLE_SOURCE_REQUIRED,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EXPIRATION_FINAL_SETTLEMENT_AND_DAILY_CLOSE_SETTLEMENT_RULES_REQUIRE_POLICY_DECISION,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
RB,Energy,physical delivery,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,FIRST_NOTICE_LAST_TRADE_DELIVERY_WINDOW_AND_DAILY_SETTLEMENT_RULEBOOK_EXTRACTION_REQUIRED,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
ZC,Agriculture grains/oilseeds,physical delivery,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,FIRST_NOTICE_LAST_TRADE_DELIVERY_WINDOW_AND_DAILY_SETTLEMENT_RULEBOOK_EXTRACTION_REQUIRED,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY
