component,status,official_static_source,evidence_recorded,blocking_gap,next_required_action
generic_mes_product_spec_status,LOCKED_OFFICIAL_CME_PUBLIC_STATIC,https://www.cmegroup.com/markets/equities/sp/micro-e-mini-sandp-500.contractSpecs.html,"CME public contract specs identify MES as Micro E-mini S&P 500, $5 x S&P 500 Index, minimum tick 0.25 index points.","None for generic product identity.","Preserve source URL and re-hash archived static extract if later saved locally."
generic_mes_product_faq_status,LOCKED_OFFICIAL_CME_PUBLIC_STATIC,https://www.cmegroup.com/articles/faqs/micro-e-mini-equity-index-futures-frequently-asked-questions.html,"CME FAQ records S&P 500 micro multiplier $5, DCM CME, quarterly March/June/September/December cycle, MES product code, 0.25 tick = $1.25, five listed months, trading hours, settlement FAQ, and Micro E-mini fee schedule family.","FAQ is generic/current source, not per-contract historical lifecycle proof.","Use as generic cross-check only."
generic_final_settlement_status,LOCKED_OFFICIAL_CME_PUBLIC_STATIC,https://www.cmegroup.com/trading/equity-index/settlement.html,"CME final settlement procedure describes S&P 500/e-mini style quarterly final settlement using Special Opening Quotation on expiration Friday and cash settlement of open expiring contracts.","Does not independently hash-bind every MES 2021-2024 contract in the S09 chain.","Use as generic cash-settlement/final-settlement source only."
historical_fee_source_availability_status,LOCKED_SOURCE_LOCATION_ONLY,https://www.cmegroup.com/company/clearing-fees/historical-fees.html,"CME historical exchange fee page identifies downloadable historical schedules for CME 2021, 2022, 2023, and 2024.","Actual MES fee values, effective dates, customer class, broker commission, NFA/regulatory, and spread/slippage are not extracted.","Execute separate historical cost extraction and source-native cost policy gate."
current_fee_source_availability_status,LOCKED_SOURCE_LOCATION_ONLY,https://www.cmegroup.com/company/clearing-fees.html,"CME clearing/trading fee page states fees vary by membership, product, volume, venue, and transaction type.","Current fee page is not a historical 2022-2023 MES cost lock.","Use only as cost-source family context."
historical_contract_lifecycle_status,FAIL_CLOSED_S09_MES_HISTORICAL_CONTRACT_LIFECYCLE_NOT_HASH_BOUND_PER_CONTRACT,"CME generic contract specs plus Databento definitions are insufficient by themselves.","MESH1 through MESH4 need hash-bound official/static lifecycle rows or a signed lifecycle derivation from official rule text plus definition cross-checks.","Missing official per-contract blocker-date ledger.","Create per-contract lifecycle ledger for all 13 MES contracts."
roll_trading_day_semantics_status,FAIL_CLOSED_S09_MES_PROVIDER_DATE_ROLL_SEMANTICS_NOT_SOURCE_LOCKED,"Existing provisional roll plan and CME generic trading-hours/settlement sources.","Databento provider date, exchange local session date, Sunday provider labels, holidays, and completed-trading-day roll buffer basis are unresolved.","Create roll semantics decision before any strategy input."
annual_risk_runtime_source_status,FAIL_CLOSED_S09_MES_S03_ANNUAL_RISK_SOURCE_NOT_PRODUCTION_LOCKED,"Carver S03 synthetic code exists locally; S09 conversion atom exists locally.","Production S03 annual-risk method, warmup, long-run risk source, no-lookahead, and first usable MES date are not source-locked for this S09 path.","Lock S03 annual-risk source atoms and runtime policy."
daily_price_risk_conversion_source_status,LOCKED_BOOK_SOURCE_ATOM,docs/process/CARVER_S09_SOURCE_ATOM_LOCK_AND_SYNTHETIC_CONFORMANCE_GATE_2026-06-02.md,"daily_price_risk = current_price * annual_percentage_risk / 16 remains locked at source/synthetic-process scope.","Runtime is still blocked by annual-risk status.","Do not emit daily price-risk rows until annual-risk runtime passes."
cost_value_status,FAIL_CLOSED_S09_MES_HISTORICAL_COST_VALUES_NOT_EXTRACTED,"CME fee pages locate schedule sources only.","No actual historical MES cost number is locked; no broker commission, spread/slippage, or per-side/round-turn convention is locked.","Extract cost values and decide conservative source-native cost model."
speed_cost_eligibility_status,FAIL_CLOSED_S09_MES_SPEED_COST_ELIGIBILITY_NOT_LOCKED,"S09 source atom sheet locks the 0.15 SR threshold only at book/source scope.","No risk-adjusted cost per trade or turnover/cost eligibility has been computed.","Lock costs and risk first, then derive eligible speed set."
strategy_input_readiness_status,FAIL_CLOSED_S09_MES_STRATEGY_INPUT_NOT_READY,"Combined evidence ledger.","Generic MES identity facts are locked, but historical lifecycle, roll semantics, annual risk, and costs remain blocked.","Do not open S09 forecast/backtest until all blockers are closed."
